comparison_id,pair_id,stage,context,repertoire_a_id,repertoire_b_id,individual_a,individual_b,receiver_a,receiver_b,session_a,session_b
comparison=21b07e89f9cfdc09a5f6c38a,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Olympia,Odin,2,5
comparison=4be7fee94bfd4e33a490f459,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Olympia,Odin,2,6
comparison=b1b34ae28692f0ddc3b3c9ad,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Olympia,Wuschel,2,2
comparison=6023193e503b3fca28f6566d,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Olympia,Wuschel,2,3
comparison=b2540ecbc9158b327c55c9a6,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Olympia,Wuschel,2,4
comparison=767881e886ccc18b79e3aa4b,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Olympia,Wuschel,2,5
comparison=95fee2d85c5e867267d29bc4,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Olympia,Wuschel,2,6
comparison=7e4192488c80a81f561abe8f,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Olympia,Odin,3,2
comparison=db2ec2f642ea49cb005bb7f8,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Olympia,Odin,3,3
comparison=bd10aef881a40b531edc24fd,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Olympia,Odin,3,4
comparison=681b9eec6d48da3b352c2fec,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Olympia,Odin,3,5
comparison=9764a42434fe744af2493de2,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Olympia,Odin,3,6
comparison=56ff58f3cdc194c0f1e1d9aa,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Olympia,Wuschel,3,2
comparison=0fd4cbed4af616744d00b329,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Olympia,Wuschel,3,3
comparison=1637cc787acb9f6c96c0e114,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Olympia,Wuschel,3,4
comparison=d4e1a2da2dae14d88627ae44,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Olympia,Wuschel,3,5
comparison=03c86db9a804ffbd2f8dd951,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=3,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Olympia,Wuschel,3,6
comparison=285e32d46889d9904f074ad8,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Olympia,Odin,4,2
comparison=6e4c86e65831e3d7cce91a98,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Olympia,Odin,4,3
comparison=397b675cfbe2a4e8d70c0b4f,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Olympia,Odin,4,4
comparison=252c46701df2097a94141912,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Olympia,Odin,4,5
comparison=bac4dfc56243e931be2fb1bc,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Olympia,Odin,4,6
comparison=b338257fa3c083a3ba3b00f0,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Olympia,Wuschel,4,2
comparison=2f6d84d280c49eb7e1f8ff23,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Olympia,Wuschel,4,3
comparison=3ff1610521b7dd083d257352,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Olympia,Wuschel,4,4
comparison=dde7c621e34aa9de71095b80,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Olympia,Wuschel,4,5
comparison=4f73e69d21bfc55203565b29,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Olympia,Wuschel,4,6
comparison=e5965172105bbf2cdb85cead,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Olympia,Odin,5,2
comparison=c7037bdcf22832d3650ee08e,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Olympia,Odin,5,3
comparison=5a16c55a330e22ba6ce73a2f,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Olympia,Odin,5,4
comparison=5456978eb23f66a707c27348,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Olympia,Odin,5,5
comparison=e5873c53d901c9f0cc268d86,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Olympia,Odin,5,6
comparison=36bf0ac3c7e1d93abdc48bb2,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Olympia,Wuschel,5,2
comparison=632074a8b1a90273cbfb535f,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Olympia,Wuschel,5,3
comparison=12bbaa155c2d9606c164b63d,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Olympia,Wuschel,5,4
comparison=2a75e088389033217b48277d,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Olympia,Wuschel,5,5
comparison=39cf4216095c38ad82a6a560,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Olympia,Wuschel,5,6
comparison=205d099a05a3d3ee1adbb22b,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Olympia,Odin,6,2
comparison=21a499e3f15df0d827bd9afe,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Olympia,Odin,6,3
comparison=9e6751315167c6eff5cf5450,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Olympia,Odin,6,4
comparison=59f2e003a8465d0b2e876963,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Olympia,Odin,6,5
comparison=b2d1a33462a286562690d275,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Olympia,Odin,6,6
comparison=605c21fac6ab61b376a993cf,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Olympia,Wuschel,6,2
comparison=e223c30b8e3a936eede32748,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Olympia,Wuschel,6,3
comparison=587752559894a5ea18dc136a,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Olympia,Wuschel,6,4
