file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,
trills_2022-07-19_14-36-49_0000021.wav,acoustic ,USGH2,acc,after,Wuschel,Lola,19,7,2022,14:30,KW/KM,
phees_2022-07-20_15-39-44_0000028.wav,acoustic ,USGH1,acc,after,Tabor,Nougatti,20,7,2022,15:40,KW/KM,
trills_2022-07-20_15-39-45_0000028.wav,acoustic ,USGH2,acc,after,Tabor,Nougatti,20,7,2022,15:40,KW/KM,
phees_2022-07-21_09-36-56_0000029.wav,acoustic ,USGH1,acc,after,Odin,Lola,21,7,2022,09:35,KW/KM,
trills_2022-07-21_09-36-57_0000029.wav,acoustic ,USGH2,acc,after,Odin,Lola,21,7,2022,09:35,KW/KM,
phees_2022-07-21_10-08-55_0000030.wav,acoustic ,USGH1,acc,after,Odin,Nougatti,21,7,2022,10:10,KW/KM,
trills_2022-07-21_10-08-56_0000030.wav,acoustic ,USGH2,acc,after,Odin,Nougatti,21,7,2022,10:10,KW/KM,
trills_2022-07-21_10-47-45_0000032.wav,acoustic ,USGH2,acc,after,Wuschel,Nougatti,21,7,2022,10:45,KW/KM,
phees_2022-07-21_13-24-57_0000034.wav,acoustic ,USGH1,acc,after,Wuschel,Olympia ,21,7,2022,13:25,KW/KM,
trills_2022-07-21_13-24-59_0000034.wav,acoustic ,USGH2,acc,after,Wuschel,Olympia ,21,7,2022,13:25,KW/KM,
phees_2022-07-21_13-48-50_0000035.wav,acoustic ,USGH1,acc,after,Tabor,Olympia ,21,7,2022,13:50,KW/KM,
trills_2022-07-21_13-48-52_0000035.wav,acoustic ,USGH2,acc,after,Tabor,Olympia ,21,7,2022,13:50,KW/KM,
phees_2022-07-25_13-18-56_0000037.wav,acoustic ,USGH1,acc,after,Odin,Olympia ,25,7,2022,13:20,KW/KM,
trills_2022-07-25_13-18-57_0000037.wav,acoustic ,USGH2,acc,after,Odin,Olympia ,25,7,2022,13:20,KW/KM,
phees_2022-07-25_13-47-10_0000038.wav,acoustic ,USGH1,acc,after,Wuschel,Lola,25,7,2022,13:45,KW/KM,
trills_2022-07-25_13-47-11_0000038.wav,acoustic ,USGH2,acc,after,Wuschel,Lola,25,7,2022,13:45,KW/KM,
phees_2022-07-25_14-28-46_0000039.wav,acoustic ,USGH1,acc,after,Tabor,Nougatti,25,7,2022,14:30,KW/KM,
phees_2022-07-25_14-43-13_0000041.wav,acoustic ,USGH1,acc,after,Tabor,Nougatti,25,7,2022,14:30,KW/KM,
