file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,Unnamed: 12,file_prefix,date,time,ID,Date_Time,session_number
trills_2022-03-17_09-51-17_0000070,acoustic,USGH2,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,,trills,2022-03-17,09-51-17,0000070,2022-03-17 09:51:17,4
trills_2022-03-17_09-57-25_0000071,acoustic,USGH2,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,,trills,2022-03-17,09-57-25,0000071,2022-03-17 09:57:25,4
trills_2022-03-17_10-04-51_0000072,acoustic,USGH2,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,,trills,2022-03-17,10-04-51,0000072,2022-03-17 10:04:51,4
phees_2022-03-17_13-35-29_0000074,acoustic,USGH1,acc,before,Tabor,Olympia,17,3,2022,RB/MM,,,phees,2022-03-17,13-35-29,0000074,2022-03-17 13:35:29,5
trills_2022-03-17_13-35-30_0000074,acoustic,USGH2,acc,before,Tabor,Olympia,17,3,2022,RB/MM,,,trills,2022-03-17,13-35-30,0000074,2022-03-17 13:35:30,5
phees_2022-03-17_14-11-17_0000076,acoustic,USGH1,acc,before,Odin,Lola,17,3,2022,RB/MM,"Second ""phase change"" at the beginning is the right one",,phees,2022-03-17,14-11-17,0000076,2022-03-17 14:11:17,5
trills_2022-03-17_14-11-20_0000076,acoustic,USGH2,acc,before,Odin,Lola,17,3,2022,RB/MM,"Second ""phase change"" at the beginning is the right one",,trills,2022-03-17,14-11-20,0000076,2022-03-17 14:11:20,5
phees_2022-03-18_09-14-46_0000079,acoustic,USGH1,acc,before,Wuschel,Olympia,18,3,2022,RB/MM,,,phees,2022-03-18,09-14-46,0000079,2022-03-18 09:14:46,5
trills_2022-03-18_09-14-46_0000079,acoustic,USGH2,acc,before,Wuschel,Olympia,18,3,2022,RB/MM,Avisoft error,,trills,2022-03-18,09-14-46,0000079,2022-03-18 09:14:46,5
trills_2022-03-18_09-20-28_0000081,acoustic,USGH2,acc,before,Wuschel,Olympia,18,3,2022,RB/MM,,,trills,2022-03-18,09-20-28,0000081,2022-03-18 09:20:28,5
phees_2022-03-18_09-47-46_0000083,acoustic,USGH1,acc,before,Tabor,Lola,18,3,2022,RB/MM,,,phees,2022-03-18,09-47-46,0000083,2022-03-18 09:47:46,5
trills_2022-03-18_09-47-49_0000083,acoustic,USGH2,acc,before,Tabor,Lola,18,3,2022,RB/MM,,,trills,2022-03-18,09-47-49,0000083,2022-03-18 09:47:49,5
phees_2022-03-18_10-23-09_0000086,acoustic,USGH1,acc,before,Odin,Nougatti,18,3,2022,RB/MM,,,phees,2022-03-18,10-23-09,0000086,2022-03-18 10:23:09,5
trills_2022-03-18_10-23-10_0000086,acoustic,USGH2,acc,before,Odin,Nougatti,18,3,2022,RB/MM,,,trills,2022-03-18,10-23-10,0000086,2022-03-18 10:23:10,5
phees_2022-03-18_14-38-20_0000088,acoustic,USGH1,acc,before,Wuschel,Lola,21,3,2022,EO/MM,,,phees,2022-03-21,14-38-20,0000088,2022-03-18 14:38:20,5
trills_2022-03-18_14-38-21_0000088,acoustic,USGH2,acc,before,Wuschel,Lola,21,3,2022,EO/MM,Avisoft error,,trills,2022-03-21,14-38-21,0000088,2022-03-18 14:38:21,5
trills_2022-03-18_14-43-07_0000090,acoustic,USGH2,acc,before,Wuschel,Lola,21,3,2022,EO/MM,,,trills,2022-03-21,14-43-07,0000090,2022-03-18 14:43:07,5
phees_2022-03-21_09-27-59_0000092,acoustic,USGH1,acc,before,Tabor,Nougatti,21,3,2022,EO/MM,,,phees,2022-03-21,09-27-59,0000092,2022-03-21 09:27:59,5
trills_2022-03-21_09-28-00_0000092,acoustic,USGH2,acc,before,Tabor,Nougatti,21,3,2022,EO/MM,,,trills,2022-03-21,09-28-00,0000092,2022-03-21 09:28:00,5
phees_2022-03-21_10-06-36_0000094,acoustic,USGH1,acc,before,Odin,Lola,21,3,2022,EO/MM,,,phees,2022-03-21,10-06-36,0000094,2022-03-21 10:06:36,6
trills_2022-03-21_10-06-37_0000094,acoustic,USGH2,acc,before,Odin,Lola,21,3,2022,EO/MM,,,trills,2022-03-21,10-06-37,0000094,2022-03-21 10:06:37,6
phees_2022-03-21_13-15-58_0000096,acoustic,USGH1,acc,before,Wuschel,Nougatti,21,3,2022,AT/MM,,,phees,2022-03-21,13-15-58,0000096,2022-03-21 13:15:58,4
trills_2022-03-21_13-15-59_0000096,acoustic,USGH2,acc,before,Wuschel,Nougatti,21,3,2022,AT/MM,,,trills,2022-03-21,13-15-59,0000096,2022-03-21 13:15:59,4
phees_2022-03-21_13-47-05_0000098,acoustic,USGH1,acc,before,Tabor,Lola,21,3,2022,AT/MM,,,phees,2022-03-21,13-47-05,0000098,2022-03-21 13:47:05,6
trills_2022-03-21_13-47-06_0000098,acoustic,USGH2,acc,before,Tabor,Lola,21,3,2022,AT/MM,,,trills,2022-03-21,13-47-06,0000098,2022-03-21 13:47:06,6
phees_2022-03-22_09-27-04_0000104,acoustic,USGH1,acc,before,Odin,Nougatti,22,3,2022,AT/MM,,,phees,2022-03-22,09-27-04,0000104,2022-03-22 09:27:04,6
trills_2022-03-22_09-27-55_0000104,acoustic,USGH2,acc,before,Odin,Nougatti,22,3,2022,AT/MM,,,trills,2022-03-22,09-27-55,0000104,2022-03-22 09:27:55,6
phees_2022-03-22_10-06-16_0000106,acoustic,USGH1,acc,before,Tabor,Olympia,22,3,2022,AT/MM,,,phees,2022-03-22,10-06-16,0000106,2022-03-22 10:06:16,6
trills_2022-03-22_10-06-17_0000106,acoustic,USGH2,acc,before,Tabor,Olympia,22,3,2022,AT/MM,,,trills,2022-03-22,10-06-17,0000106,2022-03-22 10:06:17,6
phees_2022-03-22_13-32-36_0000108,acoustic,USGH1,acc,before,Wuschel,Olympia,22,3,2022,AT/MM,,,phees,2022-03-22,13-32-36,0000108,2022-03-22 13:32:36,6
trills_2022-03-22_13-32-36_0000108,acoustic,USGH2,acc,before,Wuschel,Olympia,22,3,2022,AT/MM,,,trills,2022-03-22,13-32-36,0000108,2022-03-22 13:32:36,6
phees_2022-03-22_14-08-31_0000109,acoustic,USGH1,acc,before,Tabor,Nougatti,22,3,2022,AT/MM,,,phees,2022-03-22,14-08-31,0000109,2022-03-22 14:08:31,6
trills_2022-03-22_14-08-31_0000109,acoustic,USGH2,acc,before,Tabor,Nougatti,22,3,2022,AT/MM,,,trills,2022-03-22,14-08-31,0000109,2022-03-22 14:08:31,6
phees_2022-03-23_09-42-11_0000113,acoustic,USGH1,acc,before,Wuschel,Nougatti,23,3,2022,AT/MM,,,phees,2022-03-23,09-42-11,0000113,2022-03-23 09:42:11,5
trills_2022-03-23_09-42-19_0000113,acoustic,USGH2,acc,before,Wuschel,Nougatti,23,3,2022,AT/MM,,,trills,2022-03-23,09-42-19,0000113,2022-03-23 09:42:19,5
phees_2022-03-23_10-25-29_0000114,acoustic,USGH1,acc,before,Odin,Olympia,23,3,2022,AT/MM,lots of exchanges,,phees,2022-03-23,10-25-29,0000114,2022-03-23 10:25:29,6
trills_2022-03-23_10-25-30_0000114,acoustic,USGH2,acc,before,Odin,Olympia,23,3,2022,AT/MM,lots of exchanges,,trills,2022-03-23,10-25-30,0000114,2022-03-23 10:25:30,6
phees_2022-03-23_14-06-30_0000117,acoustic,USGH1,acc,before,Wuschel,Lola,23,3,2022,AT/MM,almost no vocalizations,,phees,2022-03-23,14-06-30,0000117,2022-03-23 14:06:30,6
trills_2022-03-23_14-06-31_0000117,acoustic,USGH2,acc,before,Wuschel,Lola,23,3,2022,AT/MM,almost no vocalizations,,trills,2022-03-23,14-06-31,0000117,2022-03-23 14:06:31,6
phees_2022-07-07_09-33-47_0000003.wav,acoustic,USGH1,acc,after,Tabor,Nougatti,7,7,2022,09:30,KW/KM,start of experiment not marked - numpad not connected properly. Start or recording a few seconds in. Still can use for analysis (add phase change marker at the beginning),phees,2022-07-07,09-33-47,0000003.wav,2022-07-07 09:33:47,1
trills_2022-07-07_09-33-48_0000003.wav,acoustic,USGH2,acc,after,Tabor,Nougatti,7,7,2022,09:30,KW/KM,,trills,2022-07-07,09-33-48,0000003.wav,2022-07-07 09:33:48,1
phees_2022-07-07_10-13-25_0000004.wav,acoustic,USGH1,acc,after,Odin,Olympia,7,7,2022,10:10,KW/KM,one additional phase change (undo after),phees,2022-07-07,10-13-25,0000004.wav,2022-07-07 10:13:25,1
trills_2022-07-07_10-13-27_0000004.wav,acoustic,USGH2,acc,after,Odin,Olympia,7,7,2022,10:10,KW/KM,,trills,2022-07-07,10-13-27,0000004.wav,2022-07-07 10:13:27,1
phees_2022-07-07_11-00-28_0000005.wav,acoustic,USGH1,acc,after,Wuschel,Nougatti,7,7,2022,11:00,KW/KM,,phees,2022-07-07,11-00-28,0000005.wav,2022-07-07 11:00:28,1
trills_2022-07-07_11-00-29_0000005.wav,acoustic,USGH2,acc,after,Wuschel,Nougatti,7,7,2022,11:00,KW/KM,,trills,2022-07-07,11-00-29,0000005.wav,2022-07-07 11:00:29,1
