call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
1956,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000033_labelled_mC1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,7.8181095,-7.8114758,PaCMAP
1957,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000033_labelled_mC2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,7.5963492,-5.787495,PaCMAP
1958,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000033_labelled_mC3.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,10.418399,-7.4775105,PaCMAP
1959,after_trills_2022-07-19_14-36-49_0000021_labelled_Wuschel_pheeseq_0000013_labelled_mB1.wav,Wuschel,Lola,after,non-partner,Wuschel-Olympia,6.0162997,-1.3998257,PaCMAP
1960,after_trills_2022-07-19_14-36-49_0000021_labelled_Wuschel_pheeseq_0000013_labelled_mB2.wav,Wuschel,Lola,after,non-partner,Wuschel-Olympia,5.5315785,-1.2244391,PaCMAP
1961,after_trills_2022-07-20_15-39-45_0000028_labelled_Tabor_pheeseq_0000011_labelled_mC1.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,9.431398,-6.9192343,PaCMAP
1962,after_trills_2022-07-20_15-39-45_0000028_labelled_Tabor_pheeseq_0000011_labelled_mC2.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,-5.70421,-2.404004,PaCMAP
1963,after_trills_2022-07-20_15-39-45_0000028_labelled_Tabor_pheeseq_0000011_labelled_mC3.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,-6.4990644,-2.0757065,PaCMAP
1964,after_trills_2022-07-20_15-39-45_0000028_labelled_Tabor_pheeseq_0000012_labelled_mB1.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,9.682294,-7.1879606,PaCMAP
1965,after_trills_2022-07-20_15-39-45_0000028_labelled_Tabor_pheeseq_0000012_labelled_mB2.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,10.782651,-4.010634,PaCMAP
1966,after_trills_2022-07-21_10-47-45_0000032_labelled_Odin_pheeseq_0000017_labelled_mB1.wav,Odin,Nougatti,after,partner,Odin-Nougatti,-15.742138,3.7863994,PaCMAP
1967,after_trills_2022-07-21_13-24-59_0000034_labelled_Olympia_pheeseq_0000033_labelled_mB2.wav,Olympia,Wuschel,after,partner,Wuschel-Olympia,-6.6568174,-1.7650361,PaCMAP
1968,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000002_labelled_mD1.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-7.527609,4.8681912,PaCMAP
1969,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000002_labelled_mD2.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-5.440725,-2.442285,PaCMAP
1970,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000002_labelled_mD3.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-6.7845545,-1.7769936,PaCMAP
1971,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000002_labelled_mD4.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-9.372407,2.28593,PaCMAP
1972,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000009_labelled_mB1.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-4.81468,-0.15998968,PaCMAP
1973,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000009_labelled_mB2.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-7.8234696,4.6273613,PaCMAP
1974,after_trills_2022-07-21_13-48-52_0000035_labelled_Tabor_pheeseq_0000011_labelled_mB2.wav,Tabor,Olympia,after,non-partner,Tabor-Lola,-5.0905843,4.21518,PaCMAP
1975,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000002_labelled_mC1.wav,Tabor,Lola,after,partner,Tabor-Lola,-7.570729,4.6379666,PaCMAP
1976,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000002_labelled_mC2.wav,Tabor,Lola,after,partner,Tabor-Lola,11.302647,-7.821156,PaCMAP
1977,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000014_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,-2.4243405,-2.5195944,PaCMAP
1978,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000014_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,10.054109,-6.8506165,PaCMAP
1979,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000014_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,-4.3987193,-2.420483,PaCMAP
1980,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000014_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,-9.656398,1.0259103,PaCMAP
1981,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000015_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,-1.2706847,-2.1829622,PaCMAP
