pair,stage,session_focal,session_partner,metric,distance,z_distance,distance_01
Odin-Nougatti,before,2.0,5.0,bigram,0.4697597428151495,0.6155751872604568,0.5203342972749224
Odin-Nougatti,before,2.0,5.0,repeat_A_len,0.2693491612953372,-0.5198043810155619,0.23811874271006414
Odin-Nougatti,before,2.0,6.0,local_alignment,-2.643171766010084,-0.31459415965582815,0.2111135779183385
Odin-Nougatti,before,2.0,6.0,transition_matrix,1.6697009416562898,0.5682797757411181,0.753798456864846
Odin-Nougatti,before,2.0,6.0,bigram,0.5072812258369883,0.8896728697366737,0.5755986904909025
Odin-Nougatti,before,2.0,6.0,repeat_A_len,0.5723660676670217,0.5472473300774449,0.506070604252661
Odin-Nougatti,before,3.0,1.0,local_alignment,-2.504549420897096,0.29966935923207766,0.3319345784420273
Odin-Nougatti,before,3.0,1.0,transition_matrix,1.6587580958564543,0.5423888825632972,0.7484010803924223
Odin-Nougatti,before,3.0,1.0,bigram,0.43723222569101056,0.3779588580966367,0.4724253834496969
Odin-Nougatti,before,3.0,1.0,repeat_A_len,0.3906739349861514,-0.09256812903575326,0.34540384224775045
Odin-Nougatti,before,3.0,2.0,local_alignment,-2.4751174754837812,0.4300882346490522,0.35758698743349904
Odin-Nougatti,before,3.0,2.0,transition_matrix,1.5665216009228085,0.32415632394865057,0.7029069651723048
Odin-Nougatti,before,3.0,2.0,bigram,0.30599792807704074,-0.5807190496088463,0.2791338810178735
Odin-Nougatti,before,3.0,2.0,repeat_A_len,0.9401253352553935,1.842284496317727,0.831272856264876
Odin-Nougatti,before,3.0,3.0,local_alignment,-2.718810482571763,-0.6497645404589497,0.14518809234196198
Odin-Nougatti,before,3.0,3.0,transition_matrix,2.032861720315815,1.4275221610070572,0.932921463649195
Odin-Nougatti,before,3.0,3.0,bigram,0.3867222864731101,0.008979378432066346,0.3980306389608234
Odin-Nougatti,before,3.0,3.0,repeat_A_len,0.4633303605216601,0.1632861205435397,0.4096524833826131
Odin-Nougatti,before,3.0,4.0,local_alignment,-2.539946873564813,0.14281612018452516,0.3010827295296635
Odin-Nougatti,before,3.0,4.0,transition_matrix,1.8521625734117153,0.9999859976182122,0.8437946184091848
Odin-Nougatti,before,3.0,4.0,bigram,0.5397143357867148,1.126599546316652,0.6233685545028224
Odin-Nougatti,before,3.0,4.0,repeat_A_len,0.5248288915886418,0.37984866680700224,0.46403441896121755
Odin-Nougatti,before,3.0,5.0,local_alignment,-2.488524634760134,0.3706784127428465,0.3459015236171922
Odin-Nougatti,before,3.0,5.0,transition_matrix,2.1507671673669493,1.7064877418553246,0.991076362066384
Odin-Nougatti,before,3.0,5.0,bigram,0.3883203913482819,0.020653672925799043,0.4003844450769214
Odin-Nougatti,before,3.0,5.0,repeat_A_len,0.3350057681468059,-0.288599477222223,0.29617758252556237
